Número;Data;Mandante;Visitantes;Gols Mandante;Gol Visitante;Gols Penalti Mandante;Gols Penalti Visitante;Resultado;Campeonato;Estádio;Gols Grêmio;Gols Inter;Campo
125;08/12/1952;Inter;Grêmio;1;1;;;Empate;Amistoso;Eucaliptos;1;1;Eucaliptos
126;13/07/1952;Grêmio;Inter;2;1;;;Grêmio;Amistoso;Baixada;2;1;Baixada
127;17/08/1952;Grêmio;Inter;1;1;;;Empate;Amistoso;Tiradentes;1;1;Outros
128;12/10/1952;Grêmio;Inter;0;0;;;Empate;Citadino Porto Alegre;Baixada;0;0;Baixada
129;07/12/1952;Inter;Grêmio;5;1;;;Inter;Citadino Porto Alegre;Eucaliptos;1;5;Eucaliptos
130;05/07/1953;Inter;Grêmio;1;1;;;Empate;Citadino Porto Alegre;Eucaliptos;1;1;Eucaliptos
131;01/11/1953;Grêmio;Inter;0;2;;;Inter;Citadino Porto Alegre;Baixada;0;2;Baixada
132;11/02/1954;Grêmio;Inter;2;3;;;Inter;Amistoso;Montanha;2;3;Outros
133;18/07/1954;Inter;Grêmio;3;1;;;Inter;Amistoso;Eucaliptos;1;3;Eucaliptos
134;25/07/1954;Grêmio;Inter;0;4;;;Inter;Citadino Porto Alegre;Montanha;0;4;Outros
135;26/09/1954;Grêmio;Inter;2;6;;;Inter;Amistoso;Olímpico;2;6;Olímpico
136;31/10/1954;Grêmio;Inter;1;1;;;Empate;Citadino Porto Alegre;Olímpico;1;1;Olímpico
137;09/01/1955;Inter;Grêmio;2;1;;;Inter;Amistoso;Eucaliptos;1;2;Eucaliptos
138;24/07/1955;Grêmio;Inter;2;1;;;Grêmio;Citadino Porto Alegre;Olímpico;2;1;Olímpico
139;06/11/1955;Inter;Grêmio;3;1;;;Inter;Citadino Porto Alegre;Eucaliptos;1;3;Eucaliptos
140;02/09/1956;Grêmio;Inter;2;1;;;Grêmio;Citadino Porto Alegre;Olímpico;2;1;Olímpico
141;12/12/1956;Inter;Grêmio;1;0;;;Inter;Citadino Porto Alegre;Eucaliptos;0;1;Eucaliptos
142;28/07/1957;Inter;Grêmio;1;1;;;Empate;Citadino Porto Alegre;Eucaliptos;1;1;Eucaliptos
143;01/12/1957;Grêmio;Inter;5;3;;;Grêmio;Citadino Porto Alegre;Olímpico;5;3;Olímpico
144;23/12/1957;Grêmio;Inter;1;2;;;Inter;Citadino Porto Alegre;Olímpico;1;2;Olímpico
145;17/08/1958;Inter;Grêmio;1;2;;;Grêmio;Citadino Porto Alegre;Eucaliptos;2;1;Eucaliptos
146;21/12/1958;Grêmio;Inter;0;1;;;Inter;Citadino Porto Alegre;Olímpico;0;1;Olímpico
147;05/02/1959;Grêmio;Inter;2;2;;;Empate;Citadino Porto Alegre;Olímpico;2;2;Olímpico
148;26/04/1959;Inter;Grêmio;1;2;;;Grêmio;Amistoso;Eucaliptos;2;1;Eucaliptos
149;16/08/1959;Inter;Grêmio;1;2;;;Grêmio;Citadino Porto Alegre;Eucaliptos;2;1;Eucaliptos
150;29/11/1959;Grêmio;Inter;4;1;;;Grêmio;Citadino Porto Alegre;Olímpico;4;1;Olímpico
151;05/01/1960;Grêmio;Inter;2;3;;;Inter;Citadino Porto Alegre;Olímpico;2;3;Olímpico
152;21/04/1960;Inter;Grêmio;0;3;;;Grêmio;Amistoso;Eucaliptos;3;0;Eucaliptos
153;21/08/1960;Inter;Grêmio;1;5;;;Grêmio;Citadino Porto Alegre;Eucaliptos;5;1;Eucaliptos
154;20/11/1960;Grêmio;Inter;1;1;;;Empate;Citadino Porto Alegre;Olímpico;1;1;Olímpico
155;23/12/1960;Grêmio;Inter;1;2;;;Inter;Citadino Porto Alegre;Olímpico;1;2;Olímpico
156;10/09/1961;Grêmio;Inter;1;2;;;Inter;Gauchão;Olímpico;1;2;Olímpico
157;10/12/1961;Inter;Grêmio;2;3;;;Grêmio;Gauchão;Eucaliptos;3;2;Eucaliptos
158;16/02/1962;Grêmio;Inter;1;1;;;Empate;Copa Sul-Brasileira – Torneio da Legalidade;Olímpico;1;1;Olímpico
159;18/03/1962;Inter;Grêmio;1;2;;;Grêmio;Copa Sul-Brasileira – Torneio da Legalidade;Eucaliptos;2;1;Eucaliptos
160;12/08/1962;Grêmio;Inter;0;0;;;Empate;Gauchão;Olímpico;0;0;Olímpico
161;07/09/1962;Grêmio;Inter;2;1;;;Grêmio;Amistoso;Rio Grande;2;1;Outros
162;09/09/1962;Grêmio;Inter;1;1;;;Empate;Amistoso;Olímpico;1;1;Olímpico
163;16/12/1962;Inter;Grêmio;0;2;;;Grêmio;Gauchão;Eucaliptos;2;0;Eucaliptos
164;07/02/1963;Grêmio;Inter;4;2;;;Grêmio;Gauchão;Olímpico;4;2;Olímpico
165;14/04/1963;Inter;Grêmio;2;1;;;Inter;Amistoso;Eucaliptos;1;2;Eucaliptos
166;01/05/1963;Grêmio;Inter;4;1;;;Grêmio;Amistoso;Olímpico;4;1;Olímpico
